"local_path","source_type","original_source_url","author_or_uploader","license_or_permission_basis","modified","review_status"
"assets/images/items/resource/dragon-egg.png","minecraft-wiki","https://minecraft.wiki/w/File:Dragon_Egg_JE5.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/echo-shard.png","minecraft-wiki","https://minecraft.wiki/w/File:Echo_Shard_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/enchanted-golden-apple.gif","minecraft-wiki","https://minecraft.wiki/w/File:Enchanted_Golden_Apple_JE2_BE2.gif","","probable Mojang asset; Minecraft Usage Guidelines review needed","re-encoded","source-recovered"
"assets/images/items/resource/end-crystal.png","minecraft-wiki","https://minecraft.wiki/w/File:End_Crystal_(item)_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/epic-essence.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/resource/essence-fragments.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/resource/fermented-spider-eye.png","minecraft-wiki","https://minecraft.wiki/w/File:Fermented_Spider_Eye_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/ghast-tear.png","minecraft-wiki","https://minecraft.wiki/w/File:Ghast_Tear_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/glow-ink-sac.png","minecraft-wiki","https://minecraft.wiki/w/File:Glow_Ink_Sac_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/golden-apple.png","minecraft-wiki","https://minecraft.wiki/w/File:Golden_Apple_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/heart-of-the-sea.png","minecraft-wiki","https://minecraft.wiki/w/File:Heart_of_the_Sea_JE1_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/heavy-core.png","minecraft-wiki","https://minecraft.wiki/w/File:Heavy_Core_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/ink-sac.png","minecraft-wiki","https://minecraft.wiki/w/File:Ink_Sac_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/legendary-essence.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/resource/magma-cream.png","minecraft-wiki","https://minecraft.wiki/w/File:Magma_Cream_JE3_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/mithril-core.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/resource/mithril-essence.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/resource/nautilus-shell.png","minecraft-wiki","https://minecraft.wiki/w/File:Nautilus_Shell_JE1_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/nether-star.gif","minecraft-wiki","https://minecraft.wiki/w/File:Nether_Star.gif","","probable Mojang asset; Minecraft Usage Guidelines review needed","re-encoded","source-recovered"
"assets/images/items/resource/netherite-ingot.png","minecraft-wiki","https://minecraft.wiki/w/File:Netherite_Ingot_JE1_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/netherite-scrap.png","minecraft-wiki","https://minecraft.wiki/w/File:Netherite_Scrap_JE2_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/ominous-trial-key.png","minecraft-wiki","https://minecraft.wiki/w/File:Ominous_Trial_Key_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/prismarine-crystals.png","minecraft-wiki","https://minecraft.wiki/w/File:Prismarine_Crystals_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/prismarine-shard.png","minecraft-wiki","https://minecraft.wiki/w/File:Prismarine_Shard_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/rare-essence.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/resource/shulker-shell.png","minecraft-wiki","https://minecraft.wiki/w/File:Shulker_Shell_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/slimeball.png","minecraft-wiki","https://minecraft.wiki/w/File:Slimeball_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/spider-eye.png","minecraft-wiki","https://minecraft.wiki/w/File:Spider_Eye_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/totem-of-undying.png","minecraft-wiki","https://minecraft.wiki/w/File:Totem_of_Undying_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/trial-key.png","minecraft-wiki","https://minecraft.wiki/w/File:Trial_Key_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/wither-skeleton-skull.png","minecraft-wiki","https://minecraft.wiki/w/File:Wither_Skeleton_Skull_(S)_JE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/runestone/bait.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/cat-eyes.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/collection.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/comb-cutter.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/decapitation.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/deepfry.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/dune-walker.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/end-veil.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/fire-react.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/lunar-lure.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/magma-walker.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
